=== Sheet: 汽车列表 | rows=97 cols=17 ===

评级	指导价	价值系数	收入溢价	订购倍率	容量倍率											
25	M3阿布扎比蓝	宝马	80	144000	D	3200	宝马系列	290	17400							
26	M3奥斯汀黄	宝马	90	162000	D	3600	宝马系列	300	18000							
27	M3荒野迷彩	宝马	100	180000	D	4000	宝马系列	310	18600							
28	R8迷彩绿	奥迪	210	6300000	B	33600	奥迪系列	740	177600							
29	R8花剑银	奥迪	220	6600000	B	35200	奥迪系列	750	180000							
30	R8金刚鹦鹉蓝	奥迪	230	6900000	B	36800	奥迪系列	760	182400							
31	R8探戈红	奥迪	245	7350000	B	39200	奥迪系列	775	186000							
32	R8维加斯黄	奥迪	250	7500000	B	40000	奥迪系列	780	187200							
33	RS 7米萨诺红	奥迪	165	990000	C	13200	奥迪系列	525	63000							
34	RS 8花键银	奥迪	175	1050000	C	14000	奥迪系列	535	64200							
35	RS 9美洲豹黑	奥迪	185	1110000	C	14800	奥迪系列	545	65400							
36	A7朱鹭白	奥迪	70	126000	D	2800	奥迪系列	280	16800							
37	A7传奇黑	奥迪	75	135000	D	3000	奥迪系列	285	17100							
38	A7粉红烈焰	奥迪	78	140400	D	3120	奥迪系列	288	17280							
39	SL级AMG蓝	奔驰	238	7140000	B	38080	奔驰系列	768	184320							
40	SL级AMG银	奔驰	240	7200000	B	38400	奔驰系列	770	184800							
41	SL级AMG黑	奔驰	242	7260000	B	38720	奔驰系列	772	185280							
42	迈巴赫S级蓝	奔驰	260	7800000	B	41600	奔驰系列	790	189600							
43	迈巴赫S级黑	奔驰	270	8100000	B	43200	奔驰系列	800	192000							
44	GLS级钻石蓝	奔驰	115	690000	C	9200	奔驰系列	475	57000							
45	GLS级铱银	奔驰	125	750000	C	10000	奔驰系列	485	58200							
46	GLS级北极白	奔驰	135	810000	C	10800	奔驰系列	495	59400							
47	E级铱银	奔驰	50	90000	D	2000	奔驰系列	260	15600							
48	E级钙石蓝	奔驰	55	99000	D	2200	奔驰系列	265	15900							
49	E级锆英红	奔驰	65	117000	D	2600	奔驰系列	275	16500							
50	威航	布加迪	4000已停产	48280000	S	370000	豪迈野牛	1850	888000							
51	思域TYPE R	本田	63	113400	D	2520	日系风采	273	16380							
52	718熔岩橙	保时捷	85	510000	D	3400	新浪潮	295	17700							
53	911黑色	保时捷	305	12200000	A	85400	新浪潮	1055	379800							
54	911白色	保时捷	310	12400000	A	86800	新浪潮	1060	381600							
55	911蓝宝石	保时捷	315	12600000	A	88200	新浪潮	1065	383400							
56	911卫红	保时捷	320	12800000	A	89600	新浪潮	1070	385200							
57	911竞速黄	保时捷	325	13000000	A	91000	新浪潮	1075	387000							
58	欧陆	宾利	290	8700000	B	46400	英国绅士	830	199200							
59	慕尚黑	宾利	495	19800000	A	138600	英国绅士	1245	448200							
60	慕尚蓝	宾利	505	20200000	A	141400	英国绅士	1255	451800							
61	慕尚红	宾利	515	20600000	A	144200	英国绅士	1265	455400							
62	慕尚紫	宾利	525	21000000	A	147000	英国绅士	1275	459000							
63	甲壳虫	大众	27	5400	E	无法订购	新手上路	187	5610							
64	高尔夫	大众	40	8000	E	无法订购	新手上路	200	6000							
65	猛禽F150宝石红	福特	54	97200	D	2160	马力十足	264	15840							
66	猛禽F150星辰蓝	福特	58	104400	D	2320	马力十足	268	16080							
67	猛禽F150森林绿	福特	62	111600	D	2480	马力十足	272	16320							
68	猛禽F150流光白	福特	66	118800	D	2640	马力十足	276	16560							
69	路虎揽胜富士白	路虎	190	1140000	C	15200	马力十足	550	66000							
70	路虎揽胜安特里绿	路虎	195	1170000	C	15600	马力十足	555	66600							
71	路虎揽胜中国红	路虎	200	1200000	C	16000	马力十足	560	67200							
72	488	法拉利	355	14200000	A	99400	豪迈野牛	1105	397800							
73	LaFerrari	法拉利	2250	31580000	S	279800	豪迈野牛	1399	671520							
74	F-TYPE	捷豹	198	1188000	C	15840	英国绅士	558	66960							
75	LC	雷克萨斯	132	792000	C	10560	日系风采	492	59040							
76	RC F	雷克萨斯	128	768000	C	10240	日系风采	488	58560							
77	幻影	劳斯莱斯	790	31600000	A	221200	英国绅士	1540	554400							
78	720S	迈凯伦	405	16200000	A	113400	英国绅士	1155	415800							
79	GC	玛莎拉蒂	301	12040000	A	84280	豪迈野牛	1051	378360							
80	GT	玛莎拉蒂	288	8640000	B	46080	豪迈野牛	830	199200							
81	370Z	日产	64	115200	D	2560	日系风采	274	16440							
82	GT-R	日产	193	1158000	C	15440	日系风采	553	66360							
83	五菱宏光S	五菱	5	1000	E	无法订购	新手上路	165	4950		新手车					
84	科迈罗（黄色)	雪佛兰	49	9800	E	无法订购	新手上路	209	6270							
85	银色闪电	奔驰	概念车	53580000	S	380000	新浪潮	1900	912000	缺失						
86	Onyx	标致	概念车	76860000	S	525000	新浪潮	2100	1008000	缺失						
87	R.S.01	雷诺	概念车	83200000	S	537250	新浪潮	2149	1031520	缺失						
88	恩佐	法拉利	10000	70720000	S	512500	豪迈野牛	2050	984000	缺失						
